Entity,Code,Year,Population by broad age group - Sex: all - Age: 65+ - Variant: estimates,Population by broad age group - Sex: all - Age: 65+ - Variant: medium,Population - Sex: all - Age: 15-64 - Variant: estimates,Population - Sex: all - Age: 15-64 - Variant: medium,Population - Sex: all - Age: 0-14 - Variant: estimates,Population - Sex: all - Age: 0-14 - Variant: medium
Australia,AUS,1950,667733,,5334206,,2175230,
Australia,AUS,1951,687653,,5448730,,2283453,
Australia,AUS,1952,708069,,5541045,,2383676,
Australia,AUS,1953,730362,,5610486,,2478315,
Australia,AUS,1954,753649,,5676889,,2572826,
Australia,AUS,1955,777094,,5761641,,2671109,
Australia,AUS,1956,800068,,5862023,,2767717,
Australia,AUS,1957,822559,,5962064,,2859567,
Australia,AUS,1958,844187,,6061090,,2947869,
Australia,AUS,1959,863651,,6173215,,3028817,
Australia,AUS,1960,882247,,6298603,,3105798,
Australia,AUS,1961,901507,,6431860,,3172573,
Australia,AUS,1962,920850,,6571202,,3219891,
Australia,AUS,1963,939611,,6713234,,3264532,
Australia,AUS,1964,957142,,6860641,,3313825,
Australia,AUS,1965,974982,,7020703,,3363757,
Australia,AUS,1966,992327,,7187188,,3413160,
Australia,AUS,1967,1007554,,7348274,,3453286,
Australia,AUS,1968,1021321,,7513417,,3492530,
Australia,AUS,1969,1036165,,7687270,,3544916,
Australia,AUS,1970,1060188,,7910085,,3624765,
Australia,AUS,1971,1093748,,8178713,,3721376,
Australia,AUS,1972,1126066,,8390299,,3783954,
Australia,AUS,1973,1155646,,8549813,,3807859,
Australia,AUS,1974,1185599,,8710598,,3817195,
Australia,AUS,1975,1218337,,8859162,,3809366,
Australia,AUS,1976,1254208,,8997932,,3785938,
Australia,AUS,1977,1290678,,9141757,,3760930,
Australia,AUS,1978,1329825,,9287338,,3738651,
Australia,AUS,1979,1371811,,9429244,,3719474,
Australia,AUS,1980,1414491,,9578329,,3713509,
Australia,AUS,1981,1456617,,9749340,,3724098,
Australia,AUS,1982,1496790,,9932408,,3739248,
Australia,AUS,1983,1534151,,10105370,,3743558,
Australia,AUS,1984,1573151,,10271189,,3735138,
Australia,AUS,1985,1619303,,10446467,,3719915,
Australia,AUS,1986,1673938,,10636835,,3701526,
Australia,AUS,1987,1730383,,10836684,,3692184,
Australia,AUS,1988,1785016,,11039101,,3701784,
Australia,AUS,1989,1837141,,11234005,,3725440,
Australia,AUS,1990,1889564,,11403622,,3754816,
Australia,AUS,1991,1945126,,11541293,,3784674,
Australia,AUS,1992,1998149,,11653619,,3810732,
Australia,AUS,1993,2047759,,11752110,,3831644,
Australia,AUS,1994,2094583,,11858737,,3852185,
Australia,AUS,1995,2140433,,11988383,,3874186,
Australia,AUS,1996,2186516,,12132090,,3893243,
Australia,AUS,1997,2229804,,12273646,,3906805,
Australia,AUS,1998,2270995,,12413079,,3917592,
Australia,AUS,1999,2310240,,12561036,,3929616,
Australia,AUS,2000,2352249,,12721926,,3943793,
Australia,AUS,2001,2400039,,12891525,,3956582,
Australia,AUS,2002,2448176,,13063492,,3964174,
Australia,AUS,2003,2496934,,13233216,,3968854,
Australia,AUS,2004,2548109,,13402374,,3974578,
Australia,AUS,2005,2602631,,13584172,,3984928,
Australia,AUS,2006,2663043,,13796230,,4007758,
Australia,AUS,2007,2730868,,14051772,,4048191,
Australia,AUS,2008,2806076,,14341243,,4100556,
Australia,AUS,2009,2891584,,14616574,,4152741,
Australia,AUS,2010,2987166,,14835953,,4196047,
Australia,AUS,2011,3093586,,15022057,,4241390,
Australia,AUS,2012,3210609,,15214698,,4303966,
Australia,AUS,2013,3328302,,15409437,,4374050,
Australia,AUS,2014,3441757,,15589395,,4438426,
Australia,AUS,2015,3555144,,15762938,,4502159,
Australia,AUS,2016,3671897,,15953415,,4570393,
Australia,AUS,2017,3791463,,16163477,,4635396,
Australia,AUS,2018,3913951,,16374139,,4691137,
Australia,AUS,2019,4039888,,16580952,,4736328,
Australia,AUS,2020,4167170,,16743212,,4759671,
Australia,AUS,2021,4294906,,16863620,,4762568,
Australia,AUS,2022,4424527,,16993816,,4759067,
Australia,AUS,2023,4556661,,17128784,,4753668,
